abaco_id,d_linha_h,nu,mu,omega,fyk,tipo_armadura,fonte,pagina,curva_id,ponto_id,digitizador,revisor,status_validacao,observacao
A-1,0.05,-1.6523,0.0178,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,002,ManusAI,Especialista,validado,
A-1,0.05,-1.5545,0.0347,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,003,ManusAI,Especialista,validado,
A-1,0.05,-1.4568,0.0508,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,004,ManusAI,Especialista,validado,
A-1,0.05,-1.3591,0.0661,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,005,ManusAI,Especialista,validado,
A-1,0.05,-1.2614,0.0806,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,006,ManusAI,Especialista,validado,
A-1,0.05,-1.1636,0.0942,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,007,ManusAI,Especialista,validado,
A-1,0.05,-1.0659,0.107,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,008,ManusAI,Especialista,validado,
A-1,0.05,-0.9682,0.119,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,009,ManusAI,Especialista,validado,
A-1,0.05,-0.8705,0.1302,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,010,ManusAI,Especialista,validado,
A-1,0.05,-0.7727,0.1405,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,011,ManusAI,Especialista,validado,
A-1,0.05,-0.675,0.15,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,012,ManusAI,Especialista,validado,
A-1,0.05,-0.5773,0.1587,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,013,ManusAI,Especialista,validado,
A-1,0.05,-0.4795,0.1665,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,014,ManusAI,Especialista,validado,
A-1,0.05,-0.3818,0.1736,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,015,ManusAI,Especialista,validado,
A-1,0.05,-0.2841,0.1798,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,016,ManusAI,Especialista,validado,
A-1,0.05,-0.1864,0.1851,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,017,ManusAI,Especialista,validado,
A-1,0.05,-0.0886,0.1897,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,018,ManusAI,Especialista,validado,
A-1,0.05,0.0091,0.1934,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,019,ManusAI,Especialista,validado,
A-1,0.05,0.1068,0.1963,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,020,ManusAI,Especialista,validado,
A-1,0.05,0.2045,0.1983,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,021,ManusAI,Especialista,validado,
A-1,0.05,0.3023,0.1996,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,022,ManusAI,Especialista,validado,
A-1,0.05,0.4,0.2,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,023,ManusAI,Especialista,validado,
A-1,0.05,0.4977,0.1996,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,024,ManusAI,Especialista,validado,
A-1,0.05,0.5955,0.1983,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,025,ManusAI,Especialista,validado,
A-1,0.05,0.6932,0.1963,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,026,ManusAI,Especialista,validado,
A-1,0.05,0.7909,0.1934,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,027,ManusAI,Especialista,validado,
A-1,0.05,0.8886,0.1897,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,028,ManusAI,Especialista,validado,
A-1,0.05,0.9864,0.1851,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,029,ManusAI,Especialista,validado,
A-1,0.05,1.0841,0.1798,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,030,ManusAI,Especialista,validado,
A-1,0.05,1.1818,0.1736,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,031,ManusAI,Especialista,validado,
A-1,0.05,1.2795,0.1665,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,032,ManusAI,Especialista,validado,
A-1,0.05,1.3773,0.1587,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,033,ManusAI,Especialista,validado,
A-1,0.05,1.475,0.15,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,034,ManusAI,Especialista,validado,
A-1,0.05,1.5727,0.1405,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,035,ManusAI,Especialista,validado,
A-1,0.05,1.6705,0.1302,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,036,ManusAI,Especialista,validado,
A-1,0.05,1.7682,0.119,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,037,ManusAI,Especialista,validado,
A-1,0.05,1.8659,0.107,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,038,ManusAI,Especialista,validado,
A-1,0.05,1.9636,0.0942,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,039,ManusAI,Especialista,validado,
A-1,0.05,2.0614,0.0806,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,040,ManusAI,Especialista,validado,
A-1,0.05,2.1591,0.0661,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,041,ManusAI,Especialista,validado,
A-1,0.05,2.2568,0.0508,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,042,ManusAI,Especialista,validado,
A-1,0.05,2.3545,0.0347,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,043,ManusAI,Especialista,validado,
A-1,0.05,2.4523,0.0178,0.0,CA-50,simetrica_duas_faces,Venturini,1,A1_w000,044,ManusAI,Especialista,validado,
A-1,0.05,-1.6523,0.0227,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,002,ManusAI,Especialista,validado,
A-1,0.05,-1.5545,0.0443,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,003,ManusAI,Especialista,validado,
A-1,0.05,-1.4568,0.0648,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,004,ManusAI,Especialista,validado,
A-1,0.05,-1.3591,0.0843,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,005,ManusAI,Especialista,validado,
A-1,0.05,-1.2614,0.1027,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,006,ManusAI,Especialista,validado,
A-1,0.05,-1.1636,0.1201,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,007,ManusAI,Especialista,validado,
A-1,0.05,-1.0659,0.1365,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,008,ManusAI,Especialista,validado,
A-1,0.05,-0.9682,0.1517,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,009,ManusAI,Especialista,validado,
A-1,0.05,-0.8705,0.166,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,010,ManusAI,Especialista,validado,
A-1,0.05,-0.7727,0.1791,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,011,ManusAI,Especialista,validado,
A-1,0.05,-0.675,0.1912,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,012,ManusAI,Especialista,validado,
A-1,0.05,-0.5773,0.2023,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,013,ManusAI,Especialista,validado,
A-1,0.05,-0.4795,0.2123,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,014,ManusAI,Especialista,validado,
A-1,0.05,-0.3818,0.2213,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,015,ManusAI,Especialista,validado,
A-1,0.05,-0.2841,0.2292,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,016,ManusAI,Especialista,validado,
A-1,0.05,-0.1864,0.236,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,017,ManusAI,Especialista,validado,
A-1,0.05,-0.0886,0.2418,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,018,ManusAI,Especialista,validado,
A-1,0.05,0.0091,0.2466,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,019,ManusAI,Especialista,validado,
A-1,0.05,0.1068,0.2503,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,020,ManusAI,Especialista,validado,
A-1,0.05,0.2045,0.2529,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,021,ManusAI,Especialista,validado,
A-1,0.05,0.3023,0.2545,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,022,ManusAI,Especialista,validado,
A-1,0.05,0.4,0.255,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,023,ManusAI,Especialista,validado,
A-1,0.05,0.4977,0.2545,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,024,ManusAI,Especialista,validado,
A-1,0.05,0.5955,0.2529,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,025,ManusAI,Especialista,validado,
A-1,0.05,0.6932,0.2503,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,026,ManusAI,Especialista,validado,
A-1,0.05,0.7909,0.2466,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,027,ManusAI,Especialista,validado,
A-1,0.05,0.8886,0.2418,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,028,ManusAI,Especialista,validado,
A-1,0.05,0.9864,0.236,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,029,ManusAI,Especialista,validado,
A-1,0.05,1.0841,0.2292,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,030,ManusAI,Especialista,validado,
A-1,0.05,1.1818,0.2213,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,031,ManusAI,Especialista,validado,
A-1,0.05,1.2795,0.2123,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,032,ManusAI,Especialista,validado,
A-1,0.05,1.3773,0.2023,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,033,ManusAI,Especialista,validado,
A-1,0.05,1.475,0.1913,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,034,ManusAI,Especialista,validado,
A-1,0.05,1.5727,0.1791,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,035,ManusAI,Especialista,validado,
A-1,0.05,1.6705,0.166,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,036,ManusAI,Especialista,validado,
A-1,0.05,1.7682,0.1517,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,037,ManusAI,Especialista,validado,
A-1,0.05,1.8659,0.1365,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,038,ManusAI,Especialista,validado,
A-1,0.05,1.9636,0.1201,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,039,ManusAI,Especialista,validado,
A-1,0.05,2.0614,0.1027,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,040,ManusAI,Especialista,validado,
A-1,0.05,2.1591,0.0843,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,041,ManusAI,Especialista,validado,
A-1,0.05,2.2568,0.0648,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,042,ManusAI,Especialista,validado,
A-1,0.05,2.3545,0.0443,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,043,ManusAI,Especialista,validado,
A-1,0.05,2.4523,0.0227,0.1,CA-50,simetrica_duas_faces,Venturini,1,A1_w010,044,ManusAI,Especialista,validado,
A-1,0.05,-1.6523,0.0275,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,002,ManusAI,Especialista,validado,
A-1,0.05,-1.5545,0.0538,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,003,ManusAI,Especialista,validado,
A-1,0.05,-1.4568,0.0788,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,004,ManusAI,Especialista,validado,
A-1,0.05,-1.3591,0.1025,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,005,ManusAI,Especialista,validado,
A-1,0.05,-1.2614,0.1249,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,006,ManusAI,Especialista,validado,
A-1,0.05,-1.1636,0.146,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,007,ManusAI,Especialista,validado,
A-1,0.05,-1.0659,0.1659,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,008,ManusAI,Especialista,validado,
A-1,0.05,-0.9682,0.1845,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,009,ManusAI,Especialista,validado,
A-1,0.05,-0.8705,0.2018,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,010,ManusAI,Especialista,validado,
A-1,0.05,-0.7727,0.2178,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,011,ManusAI,Especialista,validado,
A-1,0.05,-0.675,0.2325,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,012,ManusAI,Especialista,validado,
A-1,0.05,-0.5773,0.246,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,013,ManusAI,Especialista,validado,
A-1,0.05,-0.4795,0.2581,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,014,ManusAI,Especialista,validado,
A-1,0.05,-0.3818,0.269,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,015,ManusAI,Especialista,validado,
A-1,0.05,-0.2841,0.2786,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,016,ManusAI,Especialista,validado,
A-1,0.05,-0.1864,0.2869,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,017,ManusAI,Especialista,validado,
A-1,0.05,-0.0886,0.294,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,018,ManusAI,Especialista,validado,
A-1,0.05,0.0091,0.2998,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,019,ManusAI,Especialista,validado,
A-1,0.05,0.1068,0.3042,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,020,ManusAI,Especialista,validado,
A-1,0.05,0.2045,0.3074,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,021,ManusAI,Especialista,validado,
A-1,0.05,0.3023,0.3094,0.2,CA-50,simetrica_duas_faces,Venturini,1,A1_w020,022,ManusAI,Especialista,validado,
